number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dnn_units,params_dropout_rate,params_learning_rate,params_lstm_units,params_recurrent_dropout,state
0,0.7323758006095886,2025-06-25 15:17:39.919433,2025-06-25 15:17:45.512267,0 days 00:00:05.592834,256,512,0.5,0.0003312519525701451,384,0.2684617093129432,COMPLETE
1,0.6710965633392334,2025-06-25 15:17:45.512580,2025-06-25 15:17:50.280873,0 days 00:00:04.768293,64,768,0.4,0.00018215723098964322,256,0.11252080690159696,COMPLETE
2,0.744810938835144,2025-06-25 15:17:50.281161,2025-06-25 15:17:54.163512,0 days 00:00:03.882351,128,256,0.2,2.003295574609372e-05,384,0.2333868942279215,COMPLETE
3,0.6977324485778809,2025-06-25 15:17:54.163794,2025-06-25 15:18:07.476238,0 days 00:00:13.312444,64,768,0.2,3.0736443870858016e-05,384,0.13229303493183306,COMPLETE
4,0.7067183256149292,2025-06-25 15:18:07.476655,2025-06-25 15:18:10.273463,0 days 00:00:02.796808,64,768,0.30000000000000004,7.607800621686021e-05,128,0.13281413690145003,COMPLETE
5,0.6395542025566101,2025-06-25 15:18:10.273774,2025-06-25 15:18:14.134536,0 days 00:00:03.860762,256,256,0.5,0.00019392589220523727,384,0.26161170610935613,COMPLETE
6,0.6289892196655273,2025-06-25 15:18:14.134943,2025-06-25 15:18:17.616086,0 days 00:00:03.481143,128,768,0.4,1.2763640993419972e-05,256,0.13913077605046764,COMPLETE
7,0.6240856647491455,2025-06-25 15:18:17.616731,2025-06-25 15:18:21.740328,0 days 00:00:04.123597,128,768,0.5,0.0005763357519004452,128,0.23649849478975418,COMPLETE
8,0.6484431028366089,2025-06-25 15:18:21.740616,2025-06-25 15:18:28.260574,0 days 00:00:06.519958,128,512,0.4,0.0005653266827906739,128,0.2799145252740467,COMPLETE
9,0.6526516675949097,2025-06-25 15:18:28.260884,2025-06-25 15:18:31.475641,0 days 00:00:03.214757,128,768,0.30000000000000004,1.904188749100312e-05,256,0.23986079171290936,COMPLETE
10,0.6541093587875366,2025-06-25 15:18:31.475947,2025-06-25 15:18:35.784608,0 days 00:00:04.308661,128,256,0.5,0.0009160433928343217,128,0.18587490597056425,COMPLETE
11,0.6248597502708435,2025-06-25 15:18:35.784944,2025-06-25 15:18:42.173575,0 days 00:00:06.388631,128,768,0.4,6.998918686664248e-05,256,0.19107552471529507,COMPLETE
12,0.6667335629463196,2025-06-25 15:18:42.173994,2025-06-25 15:18:50.131109,0 days 00:00:07.957115,128,768,0.5,5.932602398453413e-05,128,0.18944455361526397,COMPLETE
