number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dnn_units_1,params_dnn_units_2,params_dropout_rate,params_l2_reg,params_learning_rate,params_n_layers,state
0,0.8539891242980957,2025-06-25 15:43:46.391610,2025-06-25 15:43:49.191887,0 days 00:00:02.800277,128,512,64,0.4917800116503374,0.00016909929020162394,1.2090012373548684e-05,1,COMPLETE
1,1.0086673498153687,2025-06-25 15:43:49.192399,2025-06-25 15:43:50.652577,0 days 00:00:01.460178,64,128,256,0.22626229872978787,0.00020583037308272506,8.157130958006426e-05,1,COMPLETE
2,1.4561386108398438,2025-06-25 15:43:50.652887,2025-06-25 15:43:53.760918,0 days 00:00:03.108031,128,512,128,0.24498045499390203,0.0007491881821550798,4.987709872831009e-05,2,COMPLETE
3,0.919320821762085,2025-06-25 15:43:53.761218,2025-06-25 15:43:56.297292,0 days 00:00:02.536074,64,256,256,0.24827104638576541,2.1527363904452157e-05,8.419747801887647e-05,1,COMPLETE
4,1.0436618328094482,2025-06-25 15:43:56.297801,2025-06-25 15:43:57.966161,0 days 00:00:01.668360,64,256,64,0.3333488957862026,0.0006858034136068755,5.382432045102366e-05,2,COMPLETE
5,0.8697547912597656,2025-06-25 15:43:57.966448,2025-06-25 15:44:01.223819,0 days 00:00:03.257371,64,256,64,0.4184976831298274,0.00029942723108084386,8.300339203583057e-05,2,COMPLETE
6,0.9248679876327515,2025-06-25 15:44:01.224119,2025-06-25 15:44:02.978318,0 days 00:00:01.754199,128,256,128,0.2018917488033572,0.0006199815046645276,1.4382434516958053e-05,2,COMPLETE
7,0.6700516939163208,2025-06-25 15:44:02.978605,2025-06-25 15:44:05.576491,0 days 00:00:02.597886,128,256,128,0.438353716199521,0.00023056631150246182,2.892485979160329e-05,1,COMPLETE
8,0.7600178718566895,2025-06-25 15:44:05.576787,2025-06-25 15:44:07.958417,0 days 00:00:02.381630,64,128,128,0.41312306468826143,9.759942739831364e-05,5.3081429535619335e-05,1,COMPLETE
9,0.6787936687469482,2025-06-25 15:44:07.958727,2025-06-25 15:44:10.456568,0 days 00:00:02.497841,256,256,128,0.31874966633587193,4.674093286344231e-05,0.00021150604649450446,1,COMPLETE
10,0.6581551432609558,2025-06-25 15:44:10.456904,2025-06-25 15:44:12.738300,0 days 00:00:02.281396,256,128,128,0.4875541644391965,5.898097869263245e-05,0.0009669980025589355,1,COMPLETE
11,0.7079268097877502,2025-06-25 15:44:12.738660,2025-06-25 15:44:15.090638,0 days 00:00:02.351978,256,128,128,0.49674623215730074,5.759986843044001e-05,0.0009382948060799533,1,COMPLETE
12,0.7634302377700806,2025-06-25 15:44:15.090958,2025-06-25 15:44:17.659558,0 days 00:00:02.568600,256,128,128,0.43562873744052144,1.4830727649906455e-05,0.0009218242869849211,1,COMPLETE
13,0.6477882266044617,2025-06-25 15:44:17.659908,2025-06-25 15:44:19.097977,0 days 00:00:01.438069,256,128,128,0.45576557176517685,3.256951437792047e-05,0.00026228229022945724,1,COMPLETE
14,0.6591883897781372,2025-06-25 15:44:19.098309,2025-06-25 15:44:21.611217,0 days 00:00:02.512908,256,128,256,0.3680144233152155,3.292860488411784e-05,0.00033416500552639096,1,COMPLETE
15,0.7527070641517639,2025-06-25 15:44:21.611542,2025-06-25 15:44:24.206307,0 days 00:00:02.594765,256,128,128,0.4633916658531033,1.079644149686219e-05,0.00036775708442047844,1,COMPLETE
16,0.6623289585113525,2025-06-25 15:44:24.206646,2025-06-25 15:44:26.894556,0 days 00:00:02.687910,256,128,128,0.3762181892281836,8.395786834637742e-05,0.00018137979973214646,1,COMPLETE
17,0.6173054575920105,2025-06-25 15:44:26.894898,2025-06-25 15:44:29.418461,0 days 00:00:02.523563,256,128,128,0.46423237552050955,2.3731191622434338e-05,0.0005537847863539963,2,COMPLETE
18,0.7028396129608154,2025-06-25 15:44:29.418767,2025-06-25 15:44:31.302837,0 days 00:00:01.884070,256,512,256,0.3862160445901739,2.4116094640465096e-05,0.00047536371418347134,2,COMPLETE
19,0.6822171807289124,2025-06-25 15:44:31.303148,2025-06-25 15:44:33.351190,0 days 00:00:02.048042,256,128,64,0.30641127659056994,3.4880565870294644e-05,0.00017179840172764637,2,COMPLETE
20,0.7323116660118103,2025-06-25 15:44:33.351530,2025-06-25 15:44:36.350935,0 days 00:00:02.999405,256,128,128,0.4578975953286625,1.3822293405878728e-05,0.000510029861422936,2,COMPLETE
21,0.7117981910705566,2025-06-25 15:44:36.351241,2025-06-25 15:44:39.309255,0 days 00:00:02.958014,256,128,128,0.47198268022543133,6.122827784866186e-05,0.000625936249502943,2,COMPLETE
22,0.6617106795310974,2025-06-25 15:44:39.309603,2025-06-25 15:44:41.995692,0 days 00:00:02.686089,256,128,128,0.49388953450053935,2.841786347666557e-05,0.0002993086329904002,1,COMPLETE
23,0.6241586804389954,2025-06-25 15:44:41.996055,2025-06-25 15:44:43.732729,0 days 00:00:01.736674,256,128,128,0.40517163653125454,1.8489968754158858e-05,0.0006597058475759018,1,COMPLETE
24,0.6268500685691833,2025-06-25 15:44:43.733083,2025-06-25 15:44:45.434511,0 days 00:00:01.701428,256,128,128,0.4004501128831063,1.7029475000710222e-05,0.0006133923188092108,2,COMPLETE
25,0.7143750786781311,2025-06-25 15:44:45.434820,2025-06-25 15:44:47.117755,0 days 00:00:01.682935,256,512,128,0.40275380241967457,1.591742454538312e-05,0.0006360982899243137,2,COMPLETE
26,0.6474636793136597,2025-06-25 15:44:47.118063,2025-06-25 15:44:48.841074,0 days 00:00:01.723011,256,128,128,0.3594272416361074,1.8847282962844973e-05,0.00012675068758187893,2,COMPLETE
27,0.7970406413078308,2025-06-25 15:44:48.841383,2025-06-25 15:44:51.927290,0 days 00:00:03.085907,256,128,128,0.3902465162578725,1.0279355099471267e-05,0.0004558678591062136,2,COMPLETE
28,0.8533167243003845,2025-06-25 15:44:51.927597,2025-06-25 15:44:53.680473,0 days 00:00:01.752876,128,128,64,0.4340667575195855,4.393802066790361e-05,0.0007379985590393333,2,COMPLETE
29,0.6711369752883911,2025-06-25 15:44:53.681019,2025-06-25 15:44:55.853675,0 days 00:00:02.172656,256,512,256,0.34185094455733983,2.101155754599395e-05,0.0004075265558699644,2,COMPLETE
