number,value,datetime_start,datetime_complete,duration,params_batch_size,params_cnn_filters,params_cnn_kernel,params_dropout_rate,params_learning_rate,params_lstm_units,params_recurrent_dropout,state
0,0.6938923597335815,2025-06-25 16:03:05.011553,2025-06-25 16:03:40.285885,0 days 00:00:35.274332,256,32,3,0.31089747235690857,0.0004982208762372384,64,0.15448282868862376,COMPLETE
1,0.7275103330612183,2025-06-25 16:03:40.286225,2025-06-25 16:04:11.526797,0 days 00:00:31.240572,256,32,7,0.4236396783391609,0.0008610930605920223,128,0.21764712049140295,COMPLETE
2,0.7344225645065308,2025-06-25 16:04:11.527088,2025-06-25 16:09:16.557844,0 days 00:05:05.030756,128,128,7,0.49209632166384426,1.8789251203938292e-05,128,0.24274174578661603,COMPLETE
3,0.6945351958274841,2025-06-25 16:09:16.558153,2025-06-25 16:10:22.841097,0 days 00:01:06.282944,128,32,3,0.36042275912479643,0.0004642806233501109,64,0.21837513066761932,COMPLETE
4,0.6955365538597107,2025-06-25 16:10:22.841397,2025-06-25 16:10:47.354630,0 days 00:00:24.513233,64,32,7,0.20310294674502888,0.000314385664632233,64,0.21800594649240795,COMPLETE
5,0.6990590691566467,2025-06-25 16:10:47.355080,2025-06-25 16:11:28.148013,0 days 00:00:40.792933,128,64,5,0.2439578689187823,4.473370186737747e-05,64,0.14187780632301694,COMPLETE
6,0.6935516595840454,2025-06-25 16:11:28.148323,2025-06-25 16:13:07.966528,0 days 00:01:39.818205,256,128,7,0.33538359479696633,0.0006194658110341163,64,0.13034017110789975,COMPLETE
7,0.6957634091377258,2025-06-25 16:13:07.966934,2025-06-25 16:14:07.746412,0 days 00:00:59.779478,64,64,7,0.40152914236359905,0.00010366005993836908,128,0.24703787472152117,COMPLETE
8,0.6996986269950867,2025-06-25 16:14:07.746756,2025-06-25 16:15:41.521753,0 days 00:01:33.774997,256,32,5,0.3588050076239945,0.00028296361807776004,128,0.22690914334454237,COMPLETE
9,0.7107217311859131,2025-06-25 16:15:41.522505,2025-06-25 16:19:19.635796,0 days 00:03:38.113291,256,64,3,0.2389613219336034,2.7018668556983328e-05,64,0.22877457618449232,COMPLETE
10,0.6989515423774719,2025-06-25 16:19:19.636108,2025-06-25 16:22:26.741714,0 days 00:03:07.105606,256,128,5,0.2988427514121425,0.00011824347089662192,256,0.2988774973759209,COMPLETE
11,0.7001615762710571,2025-06-25 16:22:26.742076,2025-06-25 16:23:40.371616,0 days 00:01:13.629540,256,128,3,0.3058851946158967,0.000896925864085588,64,0.1251237022945118,COMPLETE
12,0.6910656094551086,2025-06-25 16:23:40.372435,2025-06-25 16:25:06.896347,0 days 00:01:26.523912,256,128,3,0.3049189214404465,0.00019214949434160717,256,0.16712692083313338,COMPLETE
